firstName,LastName,email,major
Stacey,White,,Business
Stacy,Kolegraff,,Construction Management
Stan,Yoshinobu,,Mathematics
Steffen,Peuker,,Mechanical Engineering
Stephanie,Fischer,,Economics
Stephanie,Wissel,,Physics
Stephen,Ball,,Philosophy
Stephen,Hamilton,,Economics
Stephen,Klisch,,Mechanical Engineering
Stephen,Lloyd-moffett,,Philosophy
Stephen,Phillips,,Architecture
Stephen,Stern,,Business
Stern,Neill,,Business
Steve,Drasco,,Physics
Steve,Dunton,,Electrical Engineering
Steve,Rein,,Statistics
Steven,Burt,,Business
Steven,Danowitz,,Business
Steven,Mintz,,Business
Steven,Ruszczycky,,English
Steven,Wilkinson,,Chemistry
Sthanu,Mahadev,,Mechanical Engineering
Susan,Bouvette,,Business
Susan,Mackenzie,,Agriculture
Sussan,Einakian,,Computer Science
Suzanne,Gerbasi,,Communication Studies
Svetlana,Grishchenko,,Mathematics
Tal,Scriven,,Philosophy
Tali,Freed,,Industrial and Manufacturing Engineering
Tanya,Flushman,,Liberal Studies
Tao,Yang,,Industrial and Manufacturing Engineering
Taryn,Stanko,,Business
Tatiana,Kuriabova,,Physics
Teresiana,Matarese,,Italian
Terry,Jones,,Anthropology
Terry,Spiller,,Music
Themistoklis,Mastoridis,,Physics
Theresa,Migler,,Mathematics
Theresa,Migler-vondollen,,Computer Science
Thomas,Fowler,,Architecture
Thomas,Gutierrez,,Physics
Thomas,Mackin,,Mechanical Engineering
Thomas,Weber,,Business
Tianna,Sheehan,,Food Science and Nutrition
Tiev,Laguire,,Food Science and Nutrition
Tim,Kearns,,Computer Science
Tim,Ridout,,Business
Timothy,Barnes,,History
Timothy,Mccaughey,,Mathematics
Timothy,Hawkins,,Computer Engineering
Timothy,Peters,,Business
Tina,Smilkstein,,Electrical Engineering
Todd,Grundmeier,,Mathematics
Todd,Hagobian,,Science and Mathematics
Todd,Long,,Philosophy
Todd,Pierce,,English
Todor,Todorov,,Mathematics
Tom,Bensky,,Physics
Tom,Mase,,Mechanical Engineering
Tom,Mastin,,Bioresource and Agricultural Engineering
Tony,Lenz,,Computer Science
Tony,Samuel,,Mathematics
Travis,Cox,,Communication Studies
Trevor,Cardinal,,Biomedical Engineering
Trevor,Franchi,,Industrial and Manufacturing Engineering
Trian,Georgeou,,Industrial and Manufacturing Engineering
Trisha,Anderson,,Business
Trisha,Daughtrey,,Business
Tyler,Gardner,,English
Ulric,Lund,,Statistics
Umut,Toker,,City and Regional Planning
Unique,Shaw,,Social Sciences
Vardha,Bennert,,Physics
Vincent,Bonini,,Mathematics
Vincent,Meserko,,Communication Studies
Virginia,Burroughs,,Animal Science
Virginia,Callow,,Industrial and Manufacturing Engineering
Vladimir,Prodanov,,Electrical Engineering
Walter,Ryan,,Physics
Wayne,Howard,,Agribusiness
Wayne,Pilkington,,Electrical Engineering
Wei,Zeng,,Mathematics
William,Amspacher,,Agribusiness
William,Ausmus,,Communication Studies
William,Hesselgrave,,Mathematics
William,Horst,,Physics
William,Ahlgren,,Electrical Engineering
William,Lindsay,,Economics
William,Meyer,,Kinesiology
William,Murray,,Mechanical Engineering
William,Pendergast,,Business
William,Plummer,,Animal Science
William,Preston,,Social Sciences
William,Walters,,English
William,Waycott,,Agriculture
Wyatt,Brown,,Agricultural and Environmental Plant Sciences
Xi,Wu,,Mechanical Engineering
Xiao-hua,Yu,,Electrical Engineering
Xiaofeng,Wang,,Physics
Xiaomin,Jin,,Electrical Engineering
Xiaowei,Cai,,Agribusiness
Xiaoying,Rong,,Graphic Communication
Xiaozheng,Zhang,,Electrical Engineering
Xuan,Wang,,Industrial and Manufacturing Engineering
Yong,Hao,,Materials Engineering
Zachary,Peterson,,Computer Science
Zachary,Rentz,,Philosophy
Zachary,Straus,,Mathematics
Zelkja,Howard,,City and Regional Planning
Ziemowit,Bednarek,,Business
Zoe,Wood,,Computer Science
